Time,Position,theta,Force
0.55,-0.170721,2.18456,0
0.551,-0.168664,2.19126,0
0.552,-0.166579,2.19799,0
0.553,-0.164465,2.20474,0
0.554,-0.162321,2.21153,0
0.555,-0.160147,2.21835,0
0.556,-0.157943,2.22521,0
0.557,-0.155709,2.23209,0
0.558,-0.153444,2.23901,0
0.559,-0.151148,2.24596,0
0.56,-0.14882,2.25295,0
0.561,-0.146461,2.25997,0
0.562,-0.14407,2.26702,0
0.563,-0.141647,2.27411,0
0.564,-0.139191,2.28123,0
0.565,-0.136703,2.28839,0
0.566,-0.134181,2.29559,0
0.567,-0.131625,2.30282,0
0.568,-0.129036,2.31009,0
0.569,-0.126412,2.3174,0
0.57,-0.123753,2.32474,0
0.571,-0.12106,2.33212,0
0.572,-0.118331,2.33954,0
0.573,-0.115567,2.34701,0
0.574,-0.112766,2.35451,0
0.575,-0.109929,2.36205,0
0.576,-0.107056,2.36963,0
0.577,-0.104145,2.37725,0
0.578,-0.101196,2.38492,0
0.579,-0.0982101,2.39262,0
0.58,-0.0951854,2.40037,0
0.581,-0.092122,2.40817,0
0.582,-0.0890195,2.41601,0
0.583,-0.0858775,2.42389,0
0.584,-0.0826957,2.43181,0
0.585,-0.0794735,2.43979,0
0.586,-0.0762107,2.44781,0
0.587,-0.0729068,2.45587,0
0.588,-0.0695614,2.46398,0
0.589,-0.0661741,2.47214,0
0.59,-0.0627445,2.48035,0
0.591,-0.0592722,2.48861,0
0.592,-0.0557568,2.49692,0
0.593,-0.0521979,2.50528,0
0.594,-0.0485951,2.51369,0
0.595,-0.0449479,2.52215,0
0.596,-0.041256,2.53066,0
0.597,-0.037519,2.53922,0
0.598,-0.0337364,2.54784,0
0.599,-0.029908,2.55651,0
0.6,-0.0260332,2.56524,0
0.601,-0.0221118,2.57402,0
0.602,-0.0181433,2.58285,0
0.603,-0.0141274,2.59175,0
0.604,-0.0100638,2.6007,0
0.605,-0.00595207,2.6097,0
0.606,-0.00179189,2.61876,0
0.607,0.00241704,2.62789,0
0.608,0.00667504,2.63707,0
0.609,0.0109824,2.64631,0
0.61,0.0153393,2.65561,0
0.611,0.0197461,2.66496,0
0.612,0.024203,2.67438,0
0.613,0.0287102,2.68386,0
0.614,0.0332679,2.69341,0
0.615,0.0378762,2.70301,0
0.616,0.0425352,2.71267,0
0.617,0.0472451,2.7224,0
0.618,0.0520058,2.73219,0
0.619,0.0568174,2.74204,0
